tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VEC;CG;30092020;30092020;EUR;100772009;CAJAS REGALO LA VIDA ES BELLA 09/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2014;0;;CAJAS REGALO LA VIDA ES BELLA - K14;10077092020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 09;100772009;;;; 
 1;VEC;CG;30092020;30092020;EUR;100772009;CAJAS REGALO PLAN B 09/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1416;0;;CAJAS REGALO PLAN B - E16;10077092020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 09;100772009;;;; 
 1;VEC;CG;30092020;30092020;EUR;100772009;CAJAS REGALOS SMARTBOX 09/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2014;0;;CAJAS REGALOS SMARTBOX - K14;10077092020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALOS SMARTBOX- mes 09;100772009;;;; 
 1;VEC;CG;30092020;30092020;EUR;100772009;FOLLETOS ECUADOR 09/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1774;0;;FOLLETOS ECUADOR - H74;10077092020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total FOLLETOS ECUADOR- mes 09;100772009;;;; 
 1;VEC;CG;30092020;30092020;EUR;100772009;PEPEPHONE 09/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1292;0;;PEPEPHONE - C92;10077092020;;;; 
 2;;;;;;;;;D;;;;;1414;0;;PEPEPHONE - E14;10077092020;;;; 
 2;;;;;;;;;D;;;;;1418;0;;PEPEPHONE - E18;10077092020;;;; 
 2;;;;;;;;;D;;;;;1483;0;;PEPEPHONE - E83;10077092020;;;; 
 2;;;;;;;;;D;;;;;2063;0;;PEPEPHONE - K63;10077092020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total PEPEPHONE- mes 09;100772009;;;; 
 
