tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VEC;CG;30122020;30122020;EUR;100772012;CAJAS REGALO LA VIDA ES BELLA 12/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1409;0;;CAJAS REGALO LA VIDA ES BELLA - E09;10077122020;;;; 
 2;;;;;;;;;D;;;;;1410;0;;CAJAS REGALO LA VIDA ES BELLA - E10;10077122020;;;; 
 2;;;;;;;;;D;;;;;1416;0;;CAJAS REGALO LA VIDA ES BELLA - E16;10077122020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 12;100772012;;;; 
 1;VEC;CG;30122020;30122020;EUR;100772012;CAJAS REGALO PLAN B 12/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1409;0;;CAJAS REGALO PLAN B - E09;10077122020;;;; 
 2;;;;;;;;;D;;;;;1416;0;;CAJAS REGALO PLAN B - E16;10077122020;;;; 
 2;;;;;;;;;D;;;;;1777;0;;CAJAS REGALO PLAN B - H77;10077122020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 12;100772012;;;; 
 1;VEC;CG;30122020;30122020;EUR;100772012;CAJAS REGALOS SMARTBOX 12/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1328;0;;CAJAS REGALOS SMARTBOX - D28;10077122020;;;; 
 2;;;;;;;;;D;;;;;1409;0;;CAJAS REGALOS SMARTBOX - E09;10077122020;;;; 
 2;;;;;;;;;D;;;;;1482;0;;CAJAS REGALOS SMARTBOX - E82;10077122020;;;; 
 2;;;;;;;;;D;;;;;2014;0;;CAJAS REGALOS SMARTBOX - K14;10077122020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALOS SMARTBOX- mes 12;100772012;;;; 
 
