tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VEC;CG;30032021;30032021;EUR;100772103;CAJAS REGALO LA VIDA ES BELLA 03/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1365;0;;CAJAS REGALO LA VIDA ES BELLA - D65;10077032021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 03;100772103;;;; 
 1;VEC;CG;30032021;30032021;EUR;100772103;CAJAS REGALO PLAN B 03/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1365;0;;CAJAS REGALO PLAN B - D65;10077032021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 03;100772103;;;; 
 1;VEC;CG;30032021;30032021;EUR;100772103;CAJAS REGALOS SMARTBOX 03/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1541;0;;CAJAS REGALOS SMARTBOX - F41;10077032021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALOS SMARTBOX- mes 03;100772103;;;; 
 1;VEC;CG;30032021;30032021;EUR;100772103;PEPEPHONE 03/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1317;0;;PEPEPHONE - D17;10077032021;;;; 
 2;;;;;;;;;D;;;;;1325;0;;PEPEPHONE - D25;10077032021;;;; 
 2;;;;;;;;;D;;;;;1415;0;;PEPEPHONE - E15;10077032021;;;; 
 2;;;;;;;;;D;;;;;1430;0;;PEPEPHONE - E30;10077032021;;;; 
 2;;;;;;;;;D;;;;;1744;0;;PEPEPHONE - H44;10077032021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total PEPEPHONE- mes 03;100772103;;;; 
 
