tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VEC;CG;30052021;30052021;EUR;100772105;CAJAS REGALO LA VIDA ES BELLA 05/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1365;0;;CAJAS REGALO LA VIDA ES BELLA - D65;10077052021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 05;100772105;;;; 
 1;VEC;CG;30052021;30052021;EUR;100772105;CAJAS REGALO PLAN B 05/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1228;0;;CAJAS REGALO PLAN B - C28;10077052021;;;; 
 2;;;;;;;;;D;;;;;2092;0;;CAJAS REGALO PLAN B - K92;10077052021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 05;100772105;;;; 
 1;VEC;CG;30052021;30052021;EUR;100772105;PEPEPHONE 05/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1318;0;;PEPEPHONE - D18;10077052021;;;; 
 2;;;;;;;;;D;;;;;2176;0;;PEPEPHONE - L76;10077052021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total PEPEPHONE- mes 05;100772105;;;; 
 
