tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VHA;CG;30032021;30032021;EUR;100772103;CAJAS REGALO LA VIDA ES BELLA 03/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2609;0;;CAJAS REGALO LA VIDA ES BELLA - S09;10077032021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 03;100772103;;;; 
 1;VHA;CG;30032021;30032021;EUR;100772103;CAJAS REGALO PLAN B 03/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;3280;0;;CAJAS REGALO PLAN B - Q80;10077032021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 03;100772103;;;; 
 1;VHA;CG;30032021;30032021;EUR;100772103;CAJAS REGALOS SMARTBOX 03/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;3240;0;;CAJAS REGALOS SMARTBOX - Q40;10077032021;;;; 
 2;;;;;;;;;D;;;;;2609;0;;CAJAS REGALOS SMARTBOX - S09;10077032021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALOS SMARTBOX- mes 03;100772103;;;; 
 1;VHA;CG;30032021;30032021;EUR;100772103;FOLLETOS HALCON 03/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;3280;0;;FOLLETOS HALCON - Q80;10077032021;;;; 
 2;;;;;;;;;D;;;;;2522;0;;FOLLETOS HALCON - R22;10077032021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total FOLLETOS HALCON- mes 03;100772103;;;; 
 1;VHA;CG;30032021;30032021;EUR;100772103;PEPEPHONE 03/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;12;0;;PEPEPHONE - 012;10077032021;;;; 
 2;;;;;;;;;D;;;;;106;0;;PEPEPHONE - 106;10077032021;;;; 
 2;;;;;;;;;D;;;;;154;0;;PEPEPHONE - 154;10077032021;;;; 
 2;;;;;;;;;D;;;;;190;0;;PEPEPHONE - 190;10077032021;;;; 
 2;;;;;;;;;D;;;;;212;0;;PEPEPHONE - 212;10077032021;;;; 
 2;;;;;;;;;D;;;;;213;0;;PEPEPHONE - 213;10077032021;;;; 
 2;;;;;;;;;D;;;;;215;0;;PEPEPHONE - 215;10077032021;;;; 
 2;;;;;;;;;D;;;;;217;0;;PEPEPHONE - 217;10077032021;;;; 
 2;;;;;;;;;D;;;;;302;0;;PEPEPHONE - 302;10077032021;;;; 
 2;;;;;;;;;D;;;;;318;0;;PEPEPHONE - 318;10077032021;;;; 
 2;;;;;;;;;D;;;;;320;0;;PEPEPHONE - 320;10077032021;;;; 
 2;;;;;;;;;D;;;;;693;0;;PEPEPHONE - 693;10077032021;;;; 
 2;;;;;;;;;D;;;;;3232;0;;PEPEPHONE - Q32;10077032021;;;; 
 2;;;;;;;;;D;;;;;3280;0;;PEPEPHONE - Q80;10077032021;;;; 
 2;;;;;;;;;D;;;;;2501;0;;PEPEPHONE - R01;10077032021;;;; 
 2;;;;;;;;;D;;;;;2512;0;;PEPEPHONE - R12;10077032021;;;; 
 2;;;;;;;;;D;;;;;2546;0;;PEPEPHONE - R46;10077032021;;;; 
 2;;;;;;;;;D;;;;;2624;0;;PEPEPHONE - S24;10077032021;;;; 
 2;;;;;;;;;D;;;;;2631;0;;PEPEPHONE - S31;10077032021;;;; 
 2;;;;;;;;;D;;;;;2641;0;;PEPEPHONE - S41;10077032021;;;; 
 2;;;;;;;;;D;;;;;2684;0;;PEPEPHONE - S84;10077032021;;;; 
 2;;;;;;;;;D;;;;;2757;0;;PEPEPHONE - T57;10077032021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total PEPEPHONE- mes 03;100772103;;;; 
 
