tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VHA;CG;30072020;30072020;EUR;100772007;CAJAS REGALO LA VIDA ES BELLA 07/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;422;0;;CAJAS REGALO LA VIDA ES BELLA - 422;10077072020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 07;100772007;;;; 
 1;VHA;CG;30072020;30072020;EUR;100772007;CAJAS REGALO PLAN B 07/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;64;0;;CAJAS REGALO PLAN B - 064;10077072020;;;; 
 2;;;;;;;;;D;;;;;218;0;;CAJAS REGALO PLAN B - 218;10077072020;;;; 
 2;;;;;;;;;D;;;;;584;0;;CAJAS REGALO PLAN B - 584;10077072020;;;; 
 2;;;;;;;;;D;;;;;2941;0;;CAJAS REGALO PLAN B - X41;10077072020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 07;100772007;;;; 
 1;VHA;CG;30072020;30072020;EUR;100772007;CAJAS REGALOS SMARTBOX 07/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;3255;0;;CAJAS REGALOS SMARTBOX - Q55;10077072020;;;; 
 2;;;;;;;;;D;;;;;2768;0;;CAJAS REGALOS SMARTBOX - T68;10077072020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALOS SMARTBOX- mes 07;100772007;;;; 
 1;VHA;CG;30072020;30072020;EUR;100772007;PEPEPHONE 07/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;40;0;;PEPEPHONE - 040;10077072020;;;; 
 2;;;;;;;;;D;;;;;42;0;;PEPEPHONE - 042;10077072020;;;; 
 2;;;;;;;;;D;;;;;44;0;;PEPEPHONE - 044;10077072020;;;; 
 2;;;;;;;;;D;;;;;59;0;;PEPEPHONE - 059;10077072020;;;; 
 2;;;;;;;;;D;;;;;86;0;;PEPEPHONE - 086;10077072020;;;; 
 2;;;;;;;;;D;;;;;91;0;;PEPEPHONE - 091;10077072020;;;; 
 2;;;;;;;;;D;;;;;99;0;;PEPEPHONE - 099;10077072020;;;; 
 2;;;;;;;;;D;;;;;106;0;;PEPEPHONE - 106;10077072020;;;; 
 2;;;;;;;;;D;;;;;118;0;;PEPEPHONE - 118;10077072020;;;; 
 2;;;;;;;;;D;;;;;138;0;;PEPEPHONE - 138;10077072020;;;; 
 2;;;;;;;;;D;;;;;141;0;;PEPEPHONE - 141;10077072020;;;; 
 2;;;;;;;;;D;;;;;154;0;;PEPEPHONE - 154;10077072020;;;; 
 2;;;;;;;;;D;;;;;159;0;;PEPEPHONE - 159;10077072020;;;; 
 2;;;;;;;;;D;;;;;166;0;;PEPEPHONE - 166;10077072020;;;; 
 2;;;;;;;;;D;;;;;170;0;;PEPEPHONE - 170;10077072020;;;; 
 2;;;;;;;;;D;;;;;184;0;;PEPEPHONE - 184;10077072020;;;; 
 2;;;;;;;;;D;;;;;190;0;;PEPEPHONE - 190;10077072020;;;; 
 2;;;;;;;;;D;;;;;194;0;;PEPEPHONE - 194;10077072020;;;; 
 2;;;;;;;;;D;;;;;213;0;;PEPEPHONE - 213;10077072020;;;; 
 2;;;;;;;;;D;;;;;217;0;;PEPEPHONE - 217;10077072020;;;; 
 2;;;;;;;;;D;;;;;233;0;;PEPEPHONE - 233;10077072020;;;; 
 2;;;;;;;;;D;;;;;234;0;;PEPEPHONE - 234;10077072020;;;; 
 2;;;;;;;;;D;;;;;243;0;;PEPEPHONE - 243;10077072020;;;; 
 2;;;;;;;;;D;;;;;266;0;;PEPEPHONE - 266;10077072020;;;; 
 2;;;;;;;;;D;;;;;274;0;;PEPEPHONE - 274;10077072020;;;; 
 2;;;;;;;;;D;;;;;280;0;;PEPEPHONE - 280;10077072020;;;; 
 2;;;;;;;;;D;;;;;301;0;;PEPEPHONE - 301;10077072020;;;; 
 2;;;;;;;;;D;;;;;302;0;;PEPEPHONE - 302;10077072020;;;; 
 2;;;;;;;;;D;;;;;308;0;;PEPEPHONE - 308;10077072020;;;; 
 2;;;;;;;;;D;;;;;328;0;;PEPEPHONE - 328;10077072020;;;; 
 2;;;;;;;;;D;;;;;358;0;;PEPEPHONE - 358;10077072020;;;; 
 2;;;;;;;;;D;;;;;369;0;;PEPEPHONE - 369;10077072020;;;; 
 2;;;;;;;;;D;;;;;560;0;;PEPEPHONE - 560;10077072020;;;; 
 2;;;;;;;;;D;;;;;607;0;;PEPEPHONE - 607;10077072020;;;; 
 2;;;;;;;;;D;;;;;619;0;;PEPEPHONE - 619;10077072020;;;; 
 2;;;;;;;;;D;;;;;621;0;;PEPEPHONE - 621;10077072020;;;; 
