tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VHA;CG;30042021;30042021;EUR;100772104;CAJAS REGALO LA VIDA ES BELLA 04/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2879;0;;CAJAS REGALO LA VIDA ES BELLA - V79;10077042021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 04;100772104;;;; 
 1;VHA;CG;30042021;30042021;EUR;100772104;CAJAS REGALOS SMARTBOX 04/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2651;0;;CAJAS REGALOS SMARTBOX - S51;10077042021;;;; 
 2;;;;;;;;;D;;;;;2826;0;;CAJAS REGALOS SMARTBOX - V26;10077042021;;;; 
 2;;;;;;;;;D;;;;;2879;0;;CAJAS REGALOS SMARTBOX - V79;10077042021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALOS SMARTBOX- mes 04;100772104;;;; 
 
