tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VHA;CG;30082020;30082020;EUR;100772008;CAJAS REGALO LA VIDA ES BELLA 08/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2614;0;;CAJAS REGALO LA VIDA ES BELLA - S14;10077082020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 08;100772008;;;; 
 1;VHA;CG;30082020;30082020;EUR;100772008;CAJAS REGALO PLAN B 08/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;64;0;;CAJAS REGALO PLAN B - 064;10077082020;;;; 
 2;;;;;;;;;D;;;;;610;0;;CAJAS REGALO PLAN B - 610;10077082020;;;; 
 2;;;;;;;;;D;;;;;2614;0;;CAJAS REGALO PLAN B - S14;10077082020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 08;100772008;;;; 
 1;VHA;CG;30082020;30082020;EUR;100772008;FOLLETOS HALCON 08/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2641;0;;FOLLETOS HALCON - S41;10077082020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total FOLLETOS HALCON- mes 08;100772008;;;; 
 1;VHA;CG;30082020;30082020;EUR;100772008;PEPEPHONE 08/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;42;0;;PEPEPHONE - 042;10077082020;;;; 
 2;;;;;;;;;D;;;;;154;0;;PEPEPHONE - 154;10077082020;;;; 
 2;;;;;;;;;D;;;;;177;0;;PEPEPHONE - 177;10077082020;;;; 
 2;;;;;;;;;D;;;;;268;0;;PEPEPHONE - 268;10077082020;;;; 
 2;;;;;;;;;D;;;;;274;0;;PEPEPHONE - 274;10077082020;;;; 
 2;;;;;;;;;D;;;;;350;0;;PEPEPHONE - 350;10077082020;;;; 
 2;;;;;;;;;D;;;;;692;0;;PEPEPHONE - 692;10077082020;;;; 
 2;;;;;;;;;D;;;;;1952;0;;PEPEPHONE - J52;10077082020;;;; 
 2;;;;;;;;;D;;;;;2254;0;;PEPEPHONE - M54;10077082020;;;; 
 2;;;;;;;;;D;;;;;2257;0;;PEPEPHONE - M57;10077082020;;;; 
 2;;;;;;;;;D;;;;;3229;0;;PEPEPHONE - Q29;10077082020;;;; 
 2;;;;;;;;;D;;;;;3232;0;;PEPEPHONE - Q32;10077082020;;;; 
 2;;;;;;;;;D;;;;;3234;0;;PEPEPHONE - Q34;10077082020;;;; 
 2;;;;;;;;;D;;;;;3289;0;;PEPEPHONE - Q89;10077082020;;;; 
 2;;;;;;;;;D;;;;;2512;0;;PEPEPHONE - R12;10077082020;;;; 
 2;;;;;;;;;D;;;;;2624;0;;PEPEPHONE - S24;10077082020;;;; 
 2;;;;;;;;;D;;;;;2633;0;;PEPEPHONE - S33;10077082020;;;; 
 2;;;;;;;;;D;;;;;2641;0;;PEPEPHONE - S41;10077082020;;;; 
 2;;;;;;;;;D;;;;;2663;0;;PEPEPHONE - S63;10077082020;;;; 
 2;;;;;;;;;D;;;;;2684;0;;PEPEPHONE - S84;10077082020;;;; 
 2;;;;;;;;;D;;;;;2686;0;;PEPEPHONE - S86;10077082020;;;; 
 2;;;;;;;;;D;;;;;2784;0;;PEPEPHONE - T84;10077082020;;;; 
 2;;;;;;;;;D;;;;;2790;0;;PEPEPHONE - T90;10077082020;;;; 
 2;;;;;;;;;D;;;;;2911;0;;PEPEPHONE - X11;10077082020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total PEPEPHONE- mes 08;100772008;;;; 
 
