tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VEC;CG;30062021;30062021;EUR;100772106;CAJAS REGALO LA VIDA ES BELLA 06/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1409;0;;CAJAS REGALO LA VIDA ES BELLA - E09;10077062021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 06;100772106;;;; 
 1;VEC;CG;30062021;30062021;EUR;100772106;CAJAS REGALO PLAN B 06/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1094;0;;CAJAS REGALO PLAN B - A94;10077062021;;;; 
 2;;;;;;;;;D;;;;;1346;0;;CAJAS REGALO PLAN B - D46;10077062021;;;; 
 2;;;;;;;;;D;;;;;1350;0;;CAJAS REGALO PLAN B - D50;10077062021;;;; 
 2;;;;;;;;;D;;;;;1602;0;;CAJAS REGALO PLAN B - G02;10077062021;;;; 
 2;;;;;;;;;D;;;;;2092;0;;CAJAS REGALO PLAN B - K92;10077062021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 06;100772106;;;; 
 1;VEC;CG;30062021;30062021;EUR;100772106;CAJAS REGALOS SMARTBOX 06/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1071;0;;CAJAS REGALOS SMARTBOX - A71;10077062021;;;; 
 2;;;;;;;;;D;;;;;1409;0;;CAJAS REGALOS SMARTBOX - E09;10077062021;;;; 
 2;;;;;;;;;D;;;;;1482;0;;CAJAS REGALOS SMARTBOX - E82;10077062021;;;; 
 2;;;;;;;;;D;;;;;1747;0;;CAJAS REGALOS SMARTBOX - H47;10077062021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALOS SMARTBOX- mes 06;100772106;;;; 
 1;VEC;CG;30062021;30062021;EUR;100772106;CAJAS TARJETA REGALO 06/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1492;7,26;;CAJAS TARJETA REGALO - E92;10077062021;;;; 
 2;;;;;;;;;H;;;;;;7,26;;Total CAJAS TARJETA REGALO- mes 06;100772106;;;; 
 1;VEC;CG;30062021;30062021;EUR;100772106;PEPEPHONE 06/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1334;0;;PEPEPHONE - D34;10077062021;;;; 
 2;;;;;;;;;D;;;;;1415;0;;PEPEPHONE - E15;10077062021;;;; 
 2;;;;;;;;;D;;;;;1483;0;;PEPEPHONE - E83;10077062021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total PEPEPHONE- mes 06;100772106;;;; 
 
