tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VHA;CG;30122020;30122020;EUR;100772012;CAJAS REGALO LA VIDA ES BELLA 12/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2614;0;;CAJAS REGALO LA VIDA ES BELLA - S14;10077122020;;;; 
 2;;;;;;;;;D;;;;;2755;0;;CAJAS REGALO LA VIDA ES BELLA - T55;10077122020;;;; 
 2;;;;;;;;;D;;;;;2826;0;;CAJAS REGALO LA VIDA ES BELLA - V26;10077122020;;;; 
 2;;;;;;;;;D;;;;;2843;0;;CAJAS REGALO LA VIDA ES BELLA - V43;10077122020;;;; 
 2;;;;;;;;;D;;;;;2879;0;;CAJAS REGALO LA VIDA ES BELLA - V79;10077122020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 12;100772012;;;; 
 1;VHA;CG;30122020;30122020;EUR;100772012;CAJAS REGALO PLAN B 12/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;138;0;;CAJAS REGALO PLAN B - 138;10077122020;;;; 
 2;;;;;;;;;D;;;;;2614;0;;CAJAS REGALO PLAN B - S14;10077122020;;;; 
 2;;;;;;;;;D;;;;;2617;0;;CAJAS REGALO PLAN B - S17;10077122020;;;; 
 2;;;;;;;;;D;;;;;2738;0;;CAJAS REGALO PLAN B - T38;10077122020;;;; 
 2;;;;;;;;;D;;;;;2790;0;;CAJAS REGALO PLAN B - T90;10077122020;;;; 
 2;;;;;;;;;D;;;;;2843;0;;CAJAS REGALO PLAN B - V43;10077122020;;;; 
 2;;;;;;;;;D;;;;;2879;0;;CAJAS REGALO PLAN B - V79;10077122020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 12;100772012;;;; 
 1;VHA;CG;30122020;30122020;EUR;100772012;CAJAS REGALOS SMARTBOX 12/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2560;0;;CAJAS REGALOS SMARTBOX - R60;10077122020;;;; 
 2;;;;;;;;;D;;;;;2755;0;;CAJAS REGALOS SMARTBOX - T55;10077122020;;;; 
 2;;;;;;;;;D;;;;;2762;0;;CAJAS REGALOS SMARTBOX - T62;10077122020;;;; 
 2;;;;;;;;;D;;;;;2780;0;;CAJAS REGALOS SMARTBOX - T80;10077122020;;;; 
 2;;;;;;;;;D;;;;;2826;0;;CAJAS REGALOS SMARTBOX - V26;10077122020;;;; 
 2;;;;;;;;;D;;;;;2879;0;;CAJAS REGALOS SMARTBOX - V79;10077122020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALOS SMARTBOX- mes 12;100772012;;;; 
 1;VHA;CG;30122020;30122020;EUR;100772012;PEPEPHONE 12/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;106;0;;PEPEPHONE - 106;10077122020;;;; 
 2;;;;;;;;;D;;;;;138;0;;PEPEPHONE - 138;10077122020;;;; 
 2;;;;;;;;;D;;;;;274;0;;PEPEPHONE - 274;10077122020;;;; 
 2;;;;;;;;;D;;;;;619;0;;PEPEPHONE - 619;10077122020;;;; 
 2;;;;;;;;;D;;;;;693;0;;PEPEPHONE - 693;10077122020;;;; 
 2;;;;;;;;;D;;;;;1996;0;;PEPEPHONE - J96;10077122020;;;; 
 2;;;;;;;;;D;;;;;3229;0;;PEPEPHONE - Q29;10077122020;;;; 
 2;;;;;;;;;D;;;;;3271;0;;PEPEPHONE - Q71;10077122020;;;; 
 2;;;;;;;;;D;;;;;2614;0;;PEPEPHONE - S14;10077122020;;;; 
 2;;;;;;;;;D;;;;;2655;0;;PEPEPHONE - S55;10077122020;;;; 
 2;;;;;;;;;D;;;;;2738;0;;PEPEPHONE - T38;10077122020;;;; 
 2;;;;;;;;;D;;;;;2755;0;;PEPEPHONE - T55;10077122020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total PEPEPHONE- mes 12;100772012;;;; 
 
