tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VHA;CG;30052021;30052021;EUR;100772105;CAJAS REGALO LA VIDA ES BELLA 05/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;3299;0;;CAJAS REGALO LA VIDA ES BELLA - Q99;10077052021;;;; 
 2;;;;;;;;;D;;;;;2649;0;;CAJAS REGALO LA VIDA ES BELLA - S49;10077052021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 05;100772105;;;; 
 1;VHA;CG;30052021;30052021;EUR;100772105;CAJAS REGALO PLAN B 05/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;415;0;;CAJAS REGALO PLAN B - 415;10077052021;;;; 
 2;;;;;;;;;D;;;;;3240;0;;CAJAS REGALO PLAN B - Q40;10077052021;;;; 
 2;;;;;;;;;D;;;;;2546;0;;CAJAS REGALO PLAN B - R46;10077052021;;;; 
 2;;;;;;;;;D;;;;;2784;0;;CAJAS REGALO PLAN B - T84;10077052021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 05;100772105;;;; 
 1;VHA;CG;30052021;30052021;EUR;100772105;CAJAS REGALOS SMARTBOX 05/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;335;0;;CAJAS REGALOS SMARTBOX - 335;10077052021;;;; 
 2;;;;;;;;;D;;;;;2578;0;;CAJAS REGALOS SMARTBOX - R78;10077052021;;;; 
 2;;;;;;;;;D;;;;;2649;0;;CAJAS REGALOS SMARTBOX - S49;10077052021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALOS SMARTBOX- mes 05;100772105;;;; 
 1;VHA;CG;30052021;30052021;EUR;100772105;FOLLETOS HALCON 05/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;3261;0;;FOLLETOS HALCON - Q61;10077052021;;;; 
 2;;;;;;;;;D;;;;;3288;0;;FOLLETOS HALCON - Q88;10077052021;;;; 
 2;;;;;;;;;D;;;;;2522;0;;FOLLETOS HALCON - R22;10077052021;;;; 
 2;;;;;;;;;D;;;;;2649;0;;FOLLETOS HALCON - S49;10077052021;;;; 
 2;;;;;;;;;D;;;;;2935;0;;FOLLETOS HALCON - X35;10077052021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total FOLLETOS HALCON- mes 05;100772105;;;; 
 1;VHA;CG;30052021;30052021;EUR;100772105;PEPEPHONE 05/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;8;0;;PEPEPHONE - 008;10077052021;;;; 
 2;;;;;;;;;D;;;;;15;0;;PEPEPHONE - 015;10077052021;;;; 
 2;;;;;;;;;D;;;;;64;0;;PEPEPHONE - 064;10077052021;;;; 
 2;;;;;;;;;D;;;;;190;0;;PEPEPHONE - 190;10077052021;;;; 
 2;;;;;;;;;D;;;;;213;0;;PEPEPHONE - 213;10077052021;;;; 
 2;;;;;;;;;D;;;;;215;0;;PEPEPHONE - 215;10077052021;;;; 
 2;;;;;;;;;D;;;;;217;0;;PEPEPHONE - 217;10077052021;;;; 
 2;;;;;;;;;D;;;;;232;0;;PEPEPHONE - 232;10077052021;;;; 
 2;;;;;;;;;D;;;;;234;0;;PEPEPHONE - 234;10077052021;;;; 
 2;;;;;;;;;D;;;;;274;0;;PEPEPHONE - 274;10077052021;;;; 
 2;;;;;;;;;D;;;;;442;0;;PEPEPHONE - 442;10077052021;;;; 
 2;;;;;;;;;D;;;;;646;0;;PEPEPHONE - 646;10077052021;;;; 
 2;;;;;;;;;D;;;;;1952;0;;PEPEPHONE - J52;10077052021;;;; 
 2;;;;;;;;;D;;;;;3220;0;;PEPEPHONE - Q20;10077052021;;;; 
 2;;;;;;;;;D;;;;;3224;0;;PEPEPHONE - Q24;10077052021;;;; 
 2;;;;;;;;;D;;;;;3234;0;;PEPEPHONE - Q34;10077052021;;;; 
 2;;;;;;;;;D;;;;;3265;0;;PEPEPHONE - Q65;10077052021;;;; 
 2;;;;;;;;;D;;;;;3288;0;;PEPEPHONE - Q88;10077052021;;;; 
 2;;;;;;;;;D;;;;;2501;0;;PEPEPHONE - R01;10077052021;;;; 
 2;;;;;;;;;D;;;;;2524;0;;PEPEPHONE - R24;10077052021;;;; 
 2;;;;;;;;;D;;;;;2564;0;;PEPEPHONE - R64;10077052021;;;; 
 2;;;;;;;;;D;;;;;2617;0;;PEPEPHONE - S17;10077052021;;;; 
 2;;;;;;;;;D;;;;;2619;0;;PEPEPHONE - S19;10077052021;;;; 
 2;;;;;;;;;D;;;;;2633;0;;PEPEPHONE - S33;10077052021;;;; 
 2;;;;;;;;;D;;;;;2886;0;;PEPEPHONE - V86;10077052021;;;; 
 2;;;;;;;;;D;;;;;2936;0;;PEPEPHONE - X36;10077052021;;;; 
 2;;;;;;;;;D;;;;;2941;0;;PEPEPHONE - X41;10077052021;;;; 
 2;;;;;;;;;D;;;;;2942;0;;PEPEPHONE - X42;10077052021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total PEPEPHONE- mes 05;100772105;;;; 
 
