tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VHA;CG;30062021;30062021;EUR;100772106;CAJAS REGALO LA VIDA ES BELLA 06/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;226;0;;CAJAS REGALO LA VIDA ES BELLA - 226;10077062021;;;; 
 2;;;;;;;;;D;;;;;2546;0;;CAJAS REGALO LA VIDA ES BELLA - R46;10077062021;;;; 
 2;;;;;;;;;D;;;;;2879;0;;CAJAS REGALO LA VIDA ES BELLA - V79;10077062021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 06;100772106;;;; 
 1;VHA;CG;30062021;30062021;EUR;100772106;CAJAS REGALO PLAN B 06/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;45;0;;CAJAS REGALO PLAN B - 045;10077062021;;;; 
 2;;;;;;;;;D;;;;;3253;0;;CAJAS REGALO PLAN B - Q53;10077062021;;;; 
 2;;;;;;;;;D;;;;;3285;0;;CAJAS REGALO PLAN B - Q85;10077062021;;;; 
 2;;;;;;;;;D;;;;;2538;0;;CAJAS REGALO PLAN B - R38;10077062021;;;; 
 2;;;;;;;;;D;;;;;2546;0;;CAJAS REGALO PLAN B - R46;10077062021;;;; 
 2;;;;;;;;;D;;;;;2604;0;;CAJAS REGALO PLAN B - S04;10077062021;;;; 
 2;;;;;;;;;D;;;;;2662;0;;CAJAS REGALO PLAN B - S62;10077062021;;;; 
 2;;;;;;;;;D;;;;;2697;0;;CAJAS REGALO PLAN B - S97;10077062021;;;; 
 2;;;;;;;;;D;;;;;2757;0;;CAJAS REGALO PLAN B - T57;10077062021;;;; 
 2;;;;;;;;;D;;;;;2790;0;;CAJAS REGALO PLAN B - T90;10077062021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 06;100772106;;;; 
 1;VHA;CG;30062021;30062021;EUR;100772106;CAJAS REGALOS SMARTBOX 06/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;3240;0;;CAJAS REGALOS SMARTBOX - Q40;10077062021;;;; 
 2;;;;;;;;;D;;;;;2668;0;;CAJAS REGALOS SMARTBOX - S68;10077062021;;;; 
 2;;;;;;;;;D;;;;;2826;0;;CAJAS REGALOS SMARTBOX - V26;10077062021;;;; 
 2;;;;;;;;;D;;;;;2879;0;;CAJAS REGALOS SMARTBOX - V79;10077062021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALOS SMARTBOX- mes 06;100772106;;;; 
 1;VHA;CG;30062021;30062021;EUR;100772106;FOLLETOS HALCON 06/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;614;0;;FOLLETOS HALCON - 614;10077062021;;;; 
 2;;;;;;;;;D;;;;;3288;0;;FOLLETOS HALCON - Q88;10077062021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total FOLLETOS HALCON- mes 06;100772106;;;; 
 1;VHA;CG;30062021;30062021;EUR;100772106;PEPEPHONE 06/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;106;0;;PEPEPHONE - 106;10077062021;;;; 
 2;;;;;;;;;D;;;;;133;0;;PEPEPHONE - 133;10077062021;;;; 
 2;;;;;;;;;D;;;;;212;0;;PEPEPHONE - 212;10077062021;;;; 
 2;;;;;;;;;D;;;;;306;0;;PEPEPHONE - 306;10077062021;;;; 
 2;;;;;;;;;D;;;;;622;0;;PEPEPHONE - 622;10077062021;;;; 
 2;;;;;;;;;D;;;;;2257;0;;PEPEPHONE - M57;10077062021;;;; 
 2;;;;;;;;;D;;;;;2288;0;;PEPEPHONE - M88;10077062021;;;; 
 2;;;;;;;;;D;;;;;3248;0;;PEPEPHONE - Q48;10077062021;;;; 
 2;;;;;;;;;D;;;;;3288;0;;PEPEPHONE - Q88;10077062021;;;; 
 2;;;;;;;;;D;;;;;2512;0;;PEPEPHONE - R12;10077062021;;;; 
 2;;;;;;;;;D;;;;;2564;0;;PEPEPHONE - R64;10077062021;;;; 
 2;;;;;;;;;D;;;;;2610;0;;PEPEPHONE - S10;10077062021;;;; 
 2;;;;;;;;;D;;;;;2651;0;;PEPEPHONE - S51;10077062021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total PEPEPHONE- mes 06;100772106;;;; 
 
