tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VEC;CG;30072020;30072020;EUR;100772007;CAJAS REGALO LA VIDA ES BELLA 07/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2014;0;;CAJAS REGALO LA VIDA ES BELLA - K14;10077072020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 07;100772007;;;; 
 1;VEC;CG;30072020;30072020;EUR;100772007;CAJAS REGALO PLAN B 07/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1324;0;;CAJAS REGALO PLAN B - D24;10077072020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 07;100772007;;;; 
 1;VEC;CG;30072020;30072020;EUR;100772007;CAJAS TARJETA REGALO 07/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1349;12,1;;CAJAS TARJETA REGALO - D49;10077072020;;;; 
 2;;;;;;;;;D;;;;;1798;12,1;;CAJAS TARJETA REGALO - H98;10077072020;;;; 
 2;;;;;;;;;H;;;;;;24,2;;Total CAJAS TARJETA REGALO- mes 07;100772007;;;; 
 1;VEC;CG;30072020;30072020;EUR;100772007;PEPEPHONE 07/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1325;0;;PEPEPHONE - D25;10077072020;;;; 
 2;;;;;;;;;D;;;;;1415;0;;PEPEPHONE - E15;10077072020;;;; 
 2;;;;;;;;;D;;;;;1422;0;;PEPEPHONE - E22;10077072020;;;; 
 2;;;;;;;;;D;;;;;1473;0;;PEPEPHONE - E73;10077072020;;;; 
 2;;;;;;;;;D;;;;;1477;0;;PEPEPHONE - E77;10077072020;;;; 
 2;;;;;;;;;D;;;;;1527;0;;PEPEPHONE - F27;10077072020;;;; 
 2;;;;;;;;;D;;;;;2035;0;;PEPEPHONE - K35;10077072020;;;; 
 2;;;;;;;;;D;;;;;2166;0;;PEPEPHONE - L66;10077072020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total PEPEPHONE- mes 07;100772007;;;; 
 
