tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VHA;CG;30092020;30092020;EUR;100772009;CAJAS REGALO LA VIDA ES BELLA 09/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2879;0;;CAJAS REGALO LA VIDA ES BELLA - V79;10077092020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 09;100772009;;;; 
 1;VHA;CG;30092020;30092020;EUR;100772009;CAJAS REGALO PLAN B 09/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;415;0;;CAJAS REGALO PLAN B - 415;10077092020;;;; 
 2;;;;;;;;;D;;;;;2764;0;;CAJAS REGALO PLAN B - T64;10077092020;;;; 
 2;;;;;;;;;D;;;;;2879;0;;CAJAS REGALO PLAN B - V79;10077092020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 09;100772009;;;; 
 1;VHA;CG;30092020;30092020;EUR;100772009;CAJAS REGALOS SMARTBOX 09/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2879;0;;CAJAS REGALOS SMARTBOX - V79;10077092020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALOS SMARTBOX- mes 09;100772009;;;; 
 1;VHA;CG;30092020;30092020;EUR;100772009;PEPEPHONE 09/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;25;0;;PEPEPHONE - 025;10077092020;;;; 
 2;;;;;;;;;D;;;;;106;0;;PEPEPHONE - 106;10077092020;;;; 
 2;;;;;;;;;D;;;;;114;0;;PEPEPHONE - 114;10077092020;;;; 
 2;;;;;;;;;D;;;;;143;0;;PEPEPHONE - 143;10077092020;;;; 
 2;;;;;;;;;D;;;;;149;0;;PEPEPHONE - 149;10077092020;;;; 
 2;;;;;;;;;D;;;;;160;0;;PEPEPHONE - 160;10077092020;;;; 
 2;;;;;;;;;D;;;;;166;0;;PEPEPHONE - 166;10077092020;;;; 
