tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VHA;CG;30012021;30012021;EUR;100772101;CAJAS REGALO LA VIDA ES BELLA 01/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2649;0;;CAJAS REGALO LA VIDA ES BELLA - S49;10077012021;;;; 
 2;;;;;;;;;D;;;;;2697;0;;CAJAS REGALO LA VIDA ES BELLA - S97;10077012021;;;; 
 2;;;;;;;;;D;;;;;2793;0;;CAJAS REGALO LA VIDA ES BELLA - T93;10077012021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 01;100772101;;;; 
 1;VHA;CG;30012021;30012021;EUR;100772101;CAJAS REGALO PLAN B 01/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2879;0;;CAJAS REGALO PLAN B - V79;10077012021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 01;100772101;;;; 
 1;VHA;CG;30012021;30012021;EUR;100772101;CAJAS REGALOS SMARTBOX 01/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2697;0;;CAJAS REGALOS SMARTBOX - S97;10077012021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALOS SMARTBOX- mes 01;100772101;;;; 
 1;VHA;CG;30012021;30012021;EUR;100772101;FOLLETOS HALCON 01/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;3288;0;;FOLLETOS HALCON - Q88;10077012021;;;; 
 2;;;;;;;;;D;;;;;2522;0;;FOLLETOS HALCON - R22;10077012021;;;; 
 2;;;;;;;;;D;;;;;2875;0;;FOLLETOS HALCON - V75;10077012021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total FOLLETOS HALCON- mes 01;100772101;;;; 
 1;VHA;CG;30012021;30012021;EUR;100772101;PEPEPHONE 01/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;15;0;;PEPEPHONE - 015;10077012021;;;; 
 2;;;;;;;;;D;;;;;42;0;;PEPEPHONE - 042;10077012021;;;; 
 2;;;;;;;;;D;;;;;60;0;;PEPEPHONE - 060;10077012021;;;; 
 2;;;;;;;;;D;;;;;106;0;;PEPEPHONE - 106;10077012021;;;; 
 2;;;;;;;;;D;;;;;154;0;;PEPEPHONE - 154;10077012021;;;; 
 2;;;;;;;;;D;;;;;190;0;;PEPEPHONE - 190;10077012021;;;; 
 2;;;;;;;;;D;;;;;212;0;;PEPEPHONE - 212;10077012021;;;; 
 2;;;;;;;;;D;;;;;232;0;;PEPEPHONE - 232;10077012021;;;; 
 2;;;;;;;;;D;;;;;233;0;;PEPEPHONE - 233;10077012021;;;; 
 2;;;;;;;;;D;;;;;234;0;;PEPEPHONE - 234;10077012021;;;; 
 2;;;;;;;;;D;;;;;302;0;;PEPEPHONE - 302;10077012021;;;; 
 2;;;;;;;;;D;;;;;646;0;;PEPEPHONE - 646;10077012021;;;; 
 2;;;;;;;;;D;;;;;822;0;;PEPEPHONE - 822;10077012021;;;; 
 2;;;;;;;;;D;;;;;1996;0;;PEPEPHONE - J96;10077012021;;;; 
 2;;;;;;;;;D;;;;;2288;0;;PEPEPHONE - M88;10077012021;;;; 
 2;;;;;;;;;D;;;;;3221;0;;PEPEPHONE - Q21;10077012021;;;; 
 2;;;;;;;;;D;;;;;3234;0;;PEPEPHONE - Q34;10077012021;;;; 
 2;;;;;;;;;D;;;;;3239;0;;PEPEPHONE - Q39;10077012021;;;; 
 2;;;;;;;;;D;;;;;3288;0;;PEPEPHONE - Q88;10077012021;;;; 
 2;;;;;;;;;D;;;;;2501;0;;PEPEPHONE - R01;10077012021;;;; 
 2;;;;;;;;;D;;;;;2524;0;;PEPEPHONE - R24;10077012021;;;; 
 2;;;;;;;;;D;;;;;2614;0;;PEPEPHONE - S14;10077012021;;;; 
 2;;;;;;;;;D;;;;;2642;0;;PEPEPHONE - S42;10077012021;;;; 
 2;;;;;;;;;D;;;;;2911;0;;PEPEPHONE - X11;10077012021;;;; 
 2;;;;;;;;;D;;;;;2935;0;;PEPEPHONE - X35;10077012021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total PEPEPHONE- mes 01;100772101;;;; 
 
