tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VHA;CG;30022021;30022021;EUR;100772102;CAJAS REGALO LA VIDA ES BELLA 02/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;3299;0;;CAJAS REGALO LA VIDA ES BELLA - Q99;10077022021;;;; 
 2;;;;;;;;;D;;;;;2585;0;;CAJAS REGALO LA VIDA ES BELLA - R85;10077022021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 02;100772102;;;; 
 1;VHA;CG;30022021;30022021;EUR;100772102;CAJAS REGALO PLAN B 02/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2671;0;;CAJAS REGALO PLAN B - S71;10077022021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 02;100772102;;;; 
 1;VHA;CG;30022021;30022021;EUR;100772102;CAJAS REGALOS SMARTBOX 02/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;46;0;;CAJAS REGALOS SMARTBOX - 046;10077022021;;;; 
 2;;;;;;;;;D;;;;;2879;0;;CAJAS REGALOS SMARTBOX - V79;10077022021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALOS SMARTBOX- mes 02;100772102;;;; 
 1;VHA;CG;30022021;30022021;EUR;100772102;PEPEPHONE 02/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;42;0;;PEPEPHONE - 042;10077022021;;;; 
 2;;;;;;;;;D;;;;;106;0;;PEPEPHONE - 106;10077022021;;;; 
 2;;;;;;;;;D;;;;;215;0;;PEPEPHONE - 215;10077022021;;;; 
 2;;;;;;;;;D;;;;;302;0;;PEPEPHONE - 302;10077022021;;;; 
 2;;;;;;;;;D;;;;;619;0;;PEPEPHONE - 619;10077022021;;;; 
 2;;;;;;;;;D;;;;;668;0;;PEPEPHONE - 668;10077022021;;;; 
 2;;;;;;;;;D;;;;;2546;0;;PEPEPHONE - R46;10077022021;;;; 
 2;;;;;;;;;D;;;;;2694;0;;PEPEPHONE - S94;10077022021;;;; 
 2;;;;;;;;;D;;;;;2739;0;;PEPEPHONE - T39;10077022021;;;; 
 2;;;;;;;;;D;;;;;2760;0;;PEPEPHONE - T60;10077022021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total PEPEPHONE- mes 02;100772102;;;; 
 
